Yas,yil,sayi
01.45.11.01.01. (Koyun (Merinos)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2004,97755
01.45.11.01.01. (Koyun (Merinos)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2005,84409
01.45.11.01.01. (Koyun (Merinos)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2006,89915
01.45.11.01.01. (Koyun (Merinos)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2007,146181
01.45.11.01.01. (Koyun (Merinos)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2008,160665
01.45.11.01.01. (Koyun (Merinos)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2009,166996
01.45.11.01.01. (Koyun (Merinos)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2010,135796
01.45.11.01.01. (Koyun (Merinos)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2011,156950
01.45.11.01.01. (Koyun (Merinos)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2012,192642
01.45.11.01.01. (Koyun (Merinos)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2013,209488
01.45.11.01.01. (Koyun (Merinos)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2014,263730
01.45.11.01.01. (Koyun (Merinos)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2015,287597
01.45.11.01.01. (Koyun (Merinos)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2016,257728
01.45.11.01.01. (Koyun (Merinos)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2017,216323
01.45.11.01.01. (Koyun (Merinos)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2018,213422
01.45.11.01.01. (Koyun (Merinos)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2019,226258
01.45.11.01.02. (Koyun (Merinos)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2004,109015
01.45.11.01.02. (Koyun (Merinos)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2005,105404
01.45.11.01.02. (Koyun (Merinos)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2006,111833
01.45.11.01.02. (Koyun (Merinos)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2007,125563
01.45.11.01.02. (Koyun (Merinos)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2008,146110
01.45.11.01.02. (Koyun (Merinos)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2009,127417
01.45.11.01.02. (Koyun (Merinos)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2010,116215
01.45.11.01.02. (Koyun (Merinos)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2011,137688
01.45.11.01.02. (Koyun (Merinos)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2012,186849
01.45.11.01.02. (Koyun (Merinos)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2013,235186
01.45.11.01.02. (Koyun (Merinos)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2014,233335
01.45.11.01.02. (Koyun (Merinos)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2015,230417
01.45.11.01.02. (Koyun (Merinos)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2016,242604
01.45.11.01.02. (Koyun (Merinos)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2017,255278
01.45.11.01.02. (Koyun (Merinos)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2018,314298
01.45.11.01.02. (Koyun (Merinos)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2019,390963
01.45.11.01.03. (Koyun (Merinos)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2004,130192
01.45.11.01.03. (Koyun (Merinos)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2005,137346
01.45.11.01.03. (Koyun (Merinos)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2006,149395
01.45.11.01.03. (Koyun (Merinos)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2007,173738
01.45.11.01.03. (Koyun (Merinos)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2008,181339
01.45.11.01.03. (Koyun (Merinos)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2009,167432
01.45.11.01.03. (Koyun (Merinos)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2010,189451
01.45.11.01.03. (Koyun (Merinos)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2011,215992
01.45.11.01.03. (Koyun (Merinos)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2012,277482
01.45.11.01.03. (Koyun (Merinos)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2013,340591
01.45.11.01.03. (Koyun (Merinos)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2014,400414
01.45.11.01.03. (Koyun (Merinos)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2015,392412
